	Species	Genes	Brucella abortus 2308	Brucella canis ATCC 23365	Brucella ceti TE10759-12	Brucella microti CCM 4915	Brucella suis 1330	mean ZH-Score
2344	5	5	WP_002968441.1	WP_006073748.1	WP_006175467.1	WP_002968441.1	WP_006073748.1	2910.1565523809527
1809	5	5	WP_002966073.1	WP_004690199.1	WP_006175510.1	WP_015799875.1	WP_004690199.1	2900.716163157895
2347	5	5	WP_002972097.1	WP_006073879.1	WP_006175350.1	WP_002972097.1	WP_006073879.1	2895.2846750000003
1146	5	5	WP_002971535.1	WP_002971535.1	WP_002971535.1	WP_002971535.1	WP_002971535.1	2895.119964705882
699	5	5	WP_002965991.1	WP_006133358.1	WP_002965991.1	WP_002965991.1	WP_002965991.1	2893.069718181818
1501	5	5	WP_002963475.1	WP_004687981.1	WP_004687981.1	WP_004687981.1	WP_004687981.1	2880.7502181818186
2701	5	5	WP_002966246.1	WP_004690097.1	WP_006175638.1	WP_015799834.1	WP_006191802.1	2879.412690909091
1562	5	5	WP_002964310.1	WP_004688441.1	WP_004688441.1	WP_004688441.1	WP_004688441.1	2872.7197181818187
1751	5	5	WP_002966490.1	WP_004689974.1	WP_006175885.1	WP_004687553.1	WP_004689974.1	2869.196026666666
2811	5	5	WP_002965571.1	WP_004687017.1	WP_006175107.1	WP_041594781.1	WP_006192291.1	2865.553906666667
129	5	5	WP_002963904.1	WP_002963904.1	WP_002963904.1	WP_015799569.1	WP_002963904.1	2864.8429947368422
219	5	5	WP_002964240.1	WP_002964240.1	WP_002964240.1	WP_002964240.1	WP_002964240.1	2860.777209090909
823	5	5	WP_002967172.1	WP_002966482.1	WP_002966482.1	WP_002966482.1	WP_002966482.1	2860.0591529411763
763	5	5	WP_002966271.1	WP_002966271.1	WP_002966271.1	WP_015799829.1	WP_002966271.1	2859.859
291	5	5	WP_002964454.1	WP_002964454.1	WP_002964454.1	WP_002964454.1	WP_002964454.1	2857.486184615384
2637	5	5	WP_002965459.1	WP_004687905.1	WP_004687905.1	WP_004687905.1	WP_006191246.1	2855.36046
1368	5	5	WP_002964442.1	WP_004690946.1	WP_004685725.1	WP_004685725.1	WP_004685725.1	2846.1980571428576
234	5	5	WP_002964289.1	WP_002964289.1	WP_002964289.1	WP_002964289.1	WP_002964289.1	2844.7152666666666
2453	5	5	WP_002969443.1	WP_006132431.1	WP_006160790.1	WP_004691937.1	WP_006189986.1	2841.190757142857
1108	5	5	WP_002965351.1	WP_002970925.1	WP_002970925.1	WP_002970925.1	WP_002970925.1	2840.35025
580	5	5	WP_002965432.1	WP_002965432.1	WP_002965432.1	WP_002965432.1	WP_002965432.1	2839.1179764705885
731	5	5	WP_002966115.1	WP_002966115.1	WP_002966115.1	WP_002966115.1	WP_002966115.1	2839.05958
2779	5	5	WP_002965827.1	WP_004690312.1	WP_006161885.1	WP_002965827.1	WP_006192153.1	2837.8951523809524
463	5	5	WP_002965036.1	WP_002965036.1	WP_002965036.1	WP_002965036.1	WP_002965036.1	2835.99274
1400	5	5	WP_002965741.1	WP_004687104.1	WP_006161833.1	WP_004687104.1	WP_004687104.1	2835.390311111111
946	5	5	WP_002963737.1	WP_002967499.1	WP_002967499.1	WP_002967499.1	WP_002967499.1	2832.1995368421053
1900	5	5	WP_002966958.1	WP_004690476.1	WP_002966958.1	WP_002966958.1	WP_004690476.1	2831.185738461538
1478	5	5	WP_002965166.1	WP_004687768.1	WP_004687768.1	WP_004687768.1	WP_004687768.1	2830.3266666666664
1806	5	5	WP_002966100.1	WP_004690188.1	WP_002966100.1	WP_002966100.1	WP_004690188.1	2826.6335571428576
200	5	5	WP_002964122.1	WP_002964122.1	WP_002964122.1	WP_002964122.1	WP_002964122.1	2816.3317857142865
255	5	5	WP_011382118.1	WP_002964349.1	WP_002964349.1	WP_002964349.1	WP_002964349.1	2810.8763944444445
1201	5	5	WP_002968877.1	WP_004681829.1	WP_004681829.1	WP_004681829.1	WP_004681829.1	2810.451293333333
1558	5	5	WP_002964213.1	WP_004691798.1	WP_004688385.1	WP_004688385.1	WP_004688385.1	2808.752456521739
2741	5	5	WP_002966064.1	WP_004690201.1	WP_006175494.1	WP_015799877.1	WP_006191977.1	2804.459473333334
1883	5	5	WP_002964746.1	WP_004690444.1	WP_002964746.1	WP_015799722.1	WP_004690444.1	2801.335357142857
2205	5	5	WP_002965366.1	WP_004692026.1	WP_006641410.1	WP_012783827.1	WP_004692026.1	2798.6507785714284
2213	5	5	WP_002971934.1	WP_004692132.1	WP_006175102.1	WP_015799977.1	WP_004692132.1	2797.373925
2233	5	5	WP_002967317.1	WP_004692348.1	WP_004685006.1	WP_004685006.1	WP_004692348.1	2796.276944827586
2272	5	5	WP_002971730.1	WP_005970225.1	WP_005970225.1	WP_005970225.1	WP_005970225.1	2787.989709090909
1628	5	5	WP_002966138.1	WP_004688969.1	WP_004688969.1	WP_015799862.1	WP_004688969.1	2784.6689518518515
1223	5	5	WP_002965737.1	WP_004682301.1	WP_004682301.1	WP_004682301.1	WP_004682301.1	2783.209658333333
1729	5	5	WP_002964591.1	WP_004689840.1	WP_004689840.1	WP_004689840.1	WP_004689840.1	2782.030885714286
2754	5	5	WP_002965984.1	WP_004692223.1	WP_006171227.1	WP_004687242.1	WP_006192022.1	2780.227411111111
1114	5	5	WP_002971090.1	WP_002971090.1	WP_050396080.1	WP_015799687.1	WP_002971090.1	2779.2751428571432
1051	5	5	WP_002969253.1	WP_002969253.1	WP_002969253.1	WP_002969253.1	WP_002969253.1	2777.123923076923
347	5	5	WP_002964645.1	WP_002964645.1	WP_006272927.1	WP_002964645.1	WP_002964645.1	2771.599185714286
955	5	5	WP_002967608.1	WP_002967608.1	WP_002967608.1	WP_002967608.1	WP_002967608.1	2771.596227777778
2505	5	5	WP_002964183.1	WP_002967668.1	WP_002967668.1	WP_002967668.1	WP_006190225.1	2770.15291
2273	5	5	WP_002971843.1	WP_005970444.1	WP_006173527.1	WP_005970444.1	WP_005970444.1	2761.45
2122	5	5	WP_002965250.1	WP_004691194.1	WP_006173568.1	WP_004691194.1	WP_004691194.1	2759.6274705882356
1402	5	5	WP_002965756.1	WP_004687111.1	WP_004687111.1	WP_004687111.1	WP_004687111.1	2758.746673333334
1867	5	5	WP_002967202.1	WP_004690392.1	WP_002965651.1	WP_002965651.1	WP_004690392.1	2758.2436041666665
1851	5	5	WP_002965759.1	WP_004690345.1	WP_002965759.1	WP_015799940.1	WP_004690345.1	2754.02335625
1162	5	5	WP_002971918.1	WP_002971918.1	WP_002971918.1	WP_002971918.1	WP_002971918.1	2752.447
1502	5	5	WP_002963486.1	WP_004687985.1	WP_004687985.1	WP_004687985.1	WP_004687985.1	2751.644339999999
2652	5	5	WP_002969257.1	WP_004685900.1	WP_006162350.1	WP_015799989.1	WP_006191529.1	2746.300560869565
812	5	5	WP_002966429.1	WP_002966429.1	WP_002966429.1	WP_002966429.1	WP_002966429.1	2745.9105472222227
1701	5	5	WP_002964061.1	WP_004689657.1	WP_004689657.1	WP_004689657.1	WP_004689657.1	2743.7462666666665
1179	5	5	WP_002972548.1	WP_002972548.1	WP_002972548.1	WP_002972548.1	WP_002972548.1	2741.6538222222216
2647	5	5	WP_002966631.1	WP_002966631.1	WP_006176007.1	WP_002966631.1	WP_006191509.1	2738.8258789473684
644	5	5	WP_002965725.1	WP_002965725.1	WP_002965725.1	WP_002965725.1	WP_002965725.1	2738.7303764705885
1755	5	5	WP_002967179.1	WP_004689992.1	WP_006175844.1	WP_004681320.1	WP_004689992.1	2736.76031875
2271	5	5	WP_002971481.1	WP_005969315.1	WP_005969315.1	WP_005969315.1	WP_005969315.1	2736.112973684211
1349	5	5	WP_002966600.1	WP_004685167.1	WP_004685167.1	WP_004685167.1	WP_004685167.1	2731.239847619048
678	5	5	WP_002965868.1	WP_002965868.1	WP_002965868.1	WP_002965868.1	WP_002965868.1	2730.1202722222215
1386	5	5	WP_002965569.1	WP_004687015.1	WP_006175104.1	WP_004687015.1	WP_004687015.1	2727.80616
1376	5	5	WP_002969491.1	WP_004686260.1	WP_006173411.1	WP_015799752.1	WP_004686260.1	2719.2920000000004
2412	5	5	WP_002963484.1	WP_004690551.1	WP_006173731.1	WP_006072140.1	WP_006189823.1	2719.2847821428577
207	5	5	WP_002964163.1	WP_002964163.1	WP_002964163.1	WP_002964163.1	WP_002964163.1	2718.9682333333335
1352	5	5	WP_002970921.1	WP_006133079.1	WP_004685340.1	WP_004685340.1	WP_004685340.1	2718.3917117647056
1830	5	5	WP_002965886.1	WP_004690281.1	WP_002965886.1	WP_002965886.1	WP_004690281.1	2712.668589473684
938	5	5	WP_002967402.1	WP_004691997.1	WP_006173716.1	WP_002967402.1	WP_002967402.1	2712.174404761905
251	5	5	WP_002964339.1	WP_002964339.1	WP_002964339.1	WP_002964339.1	WP_002964339.1	2709.9232241379314
2221	5	5	WP_002965814.1	WP_004692188.1	WP_002965814.1	WP_002965814.1	WP_004692188.1	2709.6946260869563
2733	5	5	WP_002966122.1	WP_004690175.1	WP_006175549.1	WP_004688975.1	WP_006191938.1	2701.9966500000005
1272	5	5	WP_002964167.1	WP_004683782.1	WP_004683782.1	WP_004683782.1	WP_004683782.1	2698.8318066666666
2144	5	5	WP_002965395.1	WP_004691341.1	WP_004684675.1	WP_012783836.1	WP_004691341.1	2698.0332
1084	5	5	WP_002969624.1	WP_002969624.1	WP_002969624.1	WP_002969624.1	WP_002969624.1	2694.1758142857143
476	5	5	WP_002965079.1	WP_002965079.1	WP_002965079.1	WP_002965079.1	WP_002965079.1	2693.8920500000004
1174	5	5	WP_002972238.1	WP_006133548.1	WP_006175982.1	WP_002972238.1	WP_002972238.1	2693.51955
2617	5	5	WP_002965322.1	WP_002965322.1	WP_002965322.1	WP_002965322.1	WP_006191143.1	2692.918736363636
671	5	5	WP_002965816.1	WP_002965816.1	WP_002965816.1	WP_015799929.1	WP_002965816.1	2688.485936363637
2045	5	5	WP_002964387.1	WP_004690924.1	WP_006012942.1	WP_006012942.1	WP_004690924.1	2687.86226
2373	5	5	WP_002971785.1	WP_006133048.1	WP_006173574.1	WP_002971785.1	WP_006133048.1	2687.8398571428575
2888	5	5	WP_002971735.1	WP_024768011.1	WP_006173641.1	WP_041594678.1	WP_024768011.1	2684.093282142858
1767	5	5	WP_002967367.1	WP_004690045.1	WP_002967367.1	WP_002967367.1	WP_004690045.1	2678.6846333333337
1104	5	5	WP_002970715.1	WP_006133766.1	WP_006175575.1	WP_002970715.1	WP_002970715.1	2677.5046
1990	5	5	WP_002963927.1	WP_004690748.1	WP_002963927.1	WP_015799575.1	WP_004690748.1	2676.8622666666665
949	5	5	WP_002963938.1	WP_002967573.1	WP_002967573.1	WP_002967573.1	WP_002967573.1	2665.7505894736846
2625	5	5	WP_002965392.1	WP_006133103.1	WP_006173649.1	WP_012783834.1	WP_006191194.1	2664.762
1510	5	5	WP_002963600.1	WP_004688044.1	WP_006173809.1	WP_004688044.1	WP_004688044.1	2664.464535714286
1814	5	5	WP_002967290.1	WP_004690225.1	WP_006175468.1	WP_002966018.1	WP_004690225.1	2662.4492000000005
2673	5	5	WP_002966501.1	WP_004692608.1	WP_002966501.1	WP_002966501.1	WP_006191584.1	2661.576833333333
905	5	5	WP_002967034.1	WP_002967034.1	WP_002967034.1	WP_015799783.1	WP_002967034.1	2659.79
728	5	5	WP_002966098.1	WP_002966098.1	WP_002966098.1	WP_002966098.1	WP_002966098.1	2658.5708125
2794	5	5	WP_002965676.1	WP_006133484.1	WP_002965676.1	WP_002965676.1	WP_006192225.1	2648.9152520000002
366	5	5	WP_002964713.1	WP_002964713.1	WP_006174574.1	WP_002964713.1	WP_002964713.1	2646.8453714285715
853	5	5	WP_002966605.1	WP_004689920.1	WP_002966605.1	WP_002966605.1	WP_002966605.1	2640.7459999999996
1548	5	5	WP_002964126.1	WP_004688337.1	WP_004688337.1	WP_004688337.1	WP_004688337.1	2636.8913133333335
151	5	5	WP_002963985.1	WP_002963985.1	WP_002963985.1	WP_002963985.1	WP_002963985.1	2633.508069565217
959	5	5	WP_002967723.1	WP_002967723.1	WP_002967723.1	WP_002967723.1	WP_002967723.1	2633.2723600000004
1509	5	5	WP_002963595.1	WP_004688040.1	WP_004688040.1	WP_004688040.1	WP_004688040.1	2630.35534375
2026	5	5	WP_002966835.1	WP_006132693.1	WP_006174249.1	WP_004689713.1	WP_004690863.1	2628.5187071428577
1808	5	5	WP_002966079.1	WP_004690197.1	WP_002966079.1	WP_002966079.1	WP_004690197.1	2627.3953187499997
227	5	5	WP_002964269.1	WP_002964269.1	WP_006168289.1	WP_002964269.1	WP_002964269.1	2627.1919470588236
1879	5	5	WP_002965560.1	WP_004690428.1	WP_006175098.1	WP_002965560.1	WP_004690428.1	2623.1869555555554
278	5	5	WP_002964396.1	WP_002964396.1	WP_002964396.1	WP_041594698.1	WP_002964396.1	2621.904057142857
2354	5	5	WP_002972325.1	WP_006074564.1	WP_006174779.1	WP_006161575.1	WP_006074564.1	2615.223377777778
2009	5	5	WP_002964102.1	WP_006132654.1	WP_006174162.1	WP_008504902.1	WP_004690815.1	2613.8649749999995
108	5	5	WP_002963838.1	WP_002963838.1	WP_002963838.1	WP_002963838.1	WP_002963838.1	2611.1406875000002
1582	5	5	WP_002964615.1	WP_004688589.1	WP_006174509.1	WP_004688589.1	WP_004688589.1	2608.0411333333336
1887	5	5	WP_002964769.1	WP_004690451.1	WP_002964769.1	WP_041594714.1	WP_004690451.1	2606.393581818182
253	5	5	WP_002964343.1	WP_002964343.1	WP_002964343.1	WP_002964343.1	WP_002964343.1	2604.9849285714286
2755	5	5	WP_002967282.1	WP_004690233.1	WP_002968457.1	WP_002968457.1	WP_006192023.1	2604.1218899999994
86	5	5	WP_002963781.1	WP_002963781.1	WP_006173961.1	WP_002963781.1	WP_002963781.1	2603.9501794117646
188	5	5	WP_002964091.1	WP_002964091.1	WP_002964091.1	WP_002964091.1	WP_002964091.1	2602.3205176470588
2404	5	5	WP_002974246.1	WP_006133044.1	WP_006163792.1	WP_006163792.1	WP_006163792.1	2599.148358823529
1782	5	5	WP_002966241.1	WP_004690100.1	WP_006175636.1	WP_015799835.1	WP_004690100.1	2592.2019124999997
2711	5	5	WP_002966223.1	WP_002966223.1	WP_006175620.1	WP_002966223.1	WP_006191838.1	2585.8640846153844
996	5	5	WP_002965242.1	WP_002968054.1	WP_002968054.1	WP_002968054.1	WP_002968054.1	2583.0705
2777	5	5	WP_002965852.1	WP_004692196.1	WP_002965852.1	WP_002965852.1	WP_006192135.1	2576.302989473684
2475	5	5	WP_002963928.1	WP_004690749.1	WP_002963928.1	WP_002963928.1	WP_006190083.1	2558.2989818181813
1627	5	5	WP_002966159.1	WP_004692328.1	WP_004688958.1	WP_004688958.1	WP_004688958.1	2554.5117636363634
2762	5	5	WP_002965954.1	WP_004692214.1	WP_002965954.1	WP_002965954.1	WP_006192050.1	2550.7817444444445
753	5	5	WP_002967327.1	WP_002966205.1	WP_002966205.1	WP_002966205.1	WP_002966205.1	2550.4433833333333
1068	5	5	WP_002969449.1	WP_002969449.1	WP_006173905.1	WP_002969449.1	WP_002969449.1	2546.8991083333335
1918	5	5	WP_002969031.1	WP_004690532.1	WP_004687955.1	WP_004687955.1	WP_004690532.1	2545.57274375
2441	5	5	WP_002966715.1	WP_004691947.1	WP_002966715.1	WP_012783901.1	WP_006189966.1	2543.2554727272727
953	5	5	WP_002963983.1	WP_002967591.1	WP_002967591.1	WP_002967591.1	WP_002967591.1	2542.5473636363636
2116	5	5	WP_002969217.1	WP_004691170.1	WP_002969217.1	WP_002969217.1	WP_004691170.1	2541.412
1621	5	5	WP_002967325.1	WP_004692379.1	WP_004688927.1	WP_015799843.1	WP_004688927.1	2537.1391454545455
779	5	5	WP_002966339.1	WP_002966339.1	WP_002966339.1	WP_002966339.1	WP_002966339.1	2527.875053846154
1868	5	5	WP_002965645.1	WP_004690395.1	WP_006175150.1	WP_015799959.1	WP_004690395.1	2527.579146153846
2704	5	5	WP_002968883.1	WP_006133713.1	WP_002968883.1	WP_002968883.1	WP_006191813.1	2522.6139
2362	5	5	WP_002971030.1	WP_006132668.1	WP_023598553.1	WP_015799618.1	WP_006132668.1	2521.5319076923074
864	5	5	WP_002966647.1	WP_002966647.1	WP_006162366.1	WP_002966647.1	WP_002966647.1	2517.5410166666666
73	5	5	WP_002963725.1	WP_002963725.1	WP_006173909.1	WP_002963725.1	WP_002963725.1	2516.4647928571426
2536	5	5	WP_002966864.1	WP_004691670.1	WP_004689780.1	WP_004689780.1	WP_006190535.1	2509.5600210526313
2806	5	5	WP_002965590.1	WP_002965590.1	WP_006175118.1	WP_002965590.1	WP_006192270.1	2506.4726052631577
621	5	5	WP_002965637.1	WP_002965637.1	WP_002965637.1	WP_002965637.1	WP_002965637.1	2492.468075
1148	5	5	WP_002971551.1	WP_002971551.1	WP_002971551.1	WP_002971551.1	WP_002971551.1	2491.0920499999997
962	5	5	WP_002967737.1	WP_002967737.1	WP_002967737.1	WP_002967737.1	WP_002967737.1	2490.2243599999997
583	5	5	WP_002965444.1	WP_002965444.1	WP_002965444.1	WP_041594679.1	WP_002965444.1	2488.979152631579
83	5	5	WP_002963769.1	WP_002963769.1	WP_002963769.1	WP_002963769.1	WP_002963769.1	2488.135380952381
2231	5	5	WP_002966116.1	WP_004692299.1	WP_002966116.1	WP_002966116.1	WP_004692299.1	2485.99765
2825	5	5	WP_002964841.1	WP_006132888.1	WP_006161542.1	WP_015799735.1	WP_006192518.1	2479.7610999999997
2747	5	5	WP_002966033.1	WP_002966033.1	WP_002966033.1	WP_002966033.1	WP_006192000.1	2479.604581818182
674	5	5	WP_002965835.1	WP_002965835.1	WP_002965835.1	WP_002965835.1	WP_002965835.1	2475.076107142857
304	5	5	WP_002964507.1	WP_004691614.1	WP_006174455.1	WP_002964507.1	WP_002964507.1	2471.443833333333
1643	5	5	WP_002965884.1	WP_004690282.1	WP_006175362.1	WP_004689066.1	WP_004689066.1	2465.1111833333334
174	5	5	WP_002964046.1	WP_002964046.1	WP_002964046.1	WP_002964046.1	WP_002964046.1	2462.8310931034484
1819	5	5	WP_002965937.1	WP_004692212.1	WP_006175410.1	WP_004690254.1	WP_004690254.1	2460.8874400000004
52	5	5	WP_002963610.1	WP_002963610.1	WP_002963610.1	WP_002963610.1	WP_002963610.1	2456.05341
1616	5	5	WP_002966288.1	WP_004688887.1	WP_006175679.1	WP_004688887.1	WP_004688887.1	2452.0433125
2378	5	5	WP_002965473.1	WP_006133128.1	WP_006162861.1	WP_006162861.1	WP_006133128.1	2450.799375
1644	5	5	WP_002965873.1	WP_004689070.1	WP_006175352.1	WP_004689070.1	WP_004689070.1	2448.451816666666
2012	5	5	WP_002966816.1	WP_006253123.1	WP_006160989.1	WP_015799608.1	WP_004690823.1	2447.901
1021	5	5	WP_002968488.1	WP_002968488.1	WP_002968488.1	WP_002968488.1	WP_002968488.1	2447.629146666666
1676	5	5	WP_002965370.1	WP_004692025.1	WP_006173634.1	WP_004689394.1	WP_004689394.1	2445.1050833333334
34	5	5	WP_002963554.1	WP_002963554.1	WP_002963554.1	WP_002963554.1	WP_002963554.1	2445.015452631579
1870	5	5	WP_002967380.1	WP_004690405.1	WP_006175131.1	WP_015799962.1	WP_004690405.1	2444.67225882353
216	5	5	WP_002964224.1	WP_004690866.1	WP_002964224.1	WP_002964224.1	WP_002964224.1	2443.7183370370367
2843	5	5	WP_002970999.1	WP_004690720.1	WP_002970999.1	WP_002970999.1	WP_006278325.1	2442.8748666666665
1034	5	5	WP_002965593.1	WP_002968615.1	WP_002968615.1	WP_015799971.1	WP_002968615.1	2441.77469375
2823	5	5	WP_002964816.1	WP_004690468.1	WP_006174731.1	WP_002964816.1	WP_006192508.1	2440.968566666667
441	5	5	WP_002964982.1	WP_004691088.1	WP_002964982.1	WP_002964982.1	WP_002964982.1	2438.4492
1102	5	5	WP_002965226.1	WP_006133031.1	WP_006641884.1	WP_008935088.1	WP_002970436.1	2438.4492
1560	5	5	WP_002964255.1	WP_004691768.1	WP_004688409.1	WP_004688409.1	WP_004688409.1	2436.1919368421054
1289	5	5	WP_002964526.1	WP_004684012.1	WP_006174461.1	WP_015799678.1	WP_004684012.1	2432.3196937499997
1953	5	5	WP_002963701.1	WP_004690653.1	WP_002963701.1	WP_002963701.1	WP_004690653.1	2429.74115
1182	5	5	WP_002966648.1	WP_004680988.1	WP_004680988.1	WP_004680988.1	WP_004680988.1	2428.0652499999997
819	5	5	WP_002966461.1	WP_002966461.1	WP_006175847.1	WP_012783786.1	WP_002966461.1	2425.4562423076923
2229	5	5	WP_002966099.1	WP_004692290.1	WP_002966099.1	WP_002966099.1	WP_004692290.1	2411.109231578948
352	5	5	WP_002964654.1	WP_002964654.1	WP_002964654.1	WP_015799699.1	WP_002964654.1	2407.153
2630	5	5	WP_002971703.1	WP_002971703.1	WP_002971703.1	WP_002971703.1	WP_006191215.1	2406.3661307692305
2270	5	5	WP_002969086.1	WP_006132472.1	WP_005969311.1	WP_005969311.1	WP_005969311.1	2401.9935666666665
616	5	5	WP_002965618.1	WP_002965618.1	WP_002965618.1	WP_002965618.1	WP_002965618.1	2399.6188809523815
2186	5	5	WP_002969448.1	WP_004691943.1	WP_004691943.1	WP_004691943.1	WP_004691943.1	2384.96362
348	5	5	WP_002964647.1	WP_002964647.1	WP_002964647.1	WP_002964647.1	WP_002964647.1	2380.412275
1716	5	5	WP_002964341.1	WP_004689762.1	WP_004689762.1	WP_004689762.1	WP_004689762.1	2380.0519555555557
50	5	5	WP_002963601.1	WP_002963601.1	WP_002963601.1	WP_012783885.1	WP_002963601.1	2377.657403703704
459	5	5	WP_002965021.1	WP_002965021.1	WP_002965021.1	WP_015799762.1	WP_002965021.1	2375.3866562499998
2008	5	5	WP_002964087.1	WP_004690812.1	WP_006641932.1	WP_002964087.1	WP_004690812.1	2373.119782608696
2350	5	5	WP_002967211.1	WP_004692157.1	WP_006175208.1	WP_004682346.1	WP_006074082.1	2369.66975
2677	5	5	WP_002966471.1	WP_004681295.1	WP_004681295.1	WP_004681295.1	WP_006191649.1	2364.387433333333
1373	5	5	WP_002971984.1	WP_004686129.1	WP_006175646.1	WP_004686129.1	WP_004686129.1	2360.6349631578946
1070	5	5	WP_002969482.1	WP_002969482.1	WP_006173725.1	WP_002969482.1	WP_002969482.1	2360.2982636363636
446	5	5	WP_002964994.1	WP_002964994.1	WP_002964994.1	WP_002964994.1	WP_002964994.1	2357.9980266666666
1507	5	5	WP_002963561.1	WP_004688025.1	WP_004688025.1	WP_004688025.1	WP_004688025.1	2356.8911599999997
184	5	5	WP_002964065.1	WP_002964065.1	WP_002964065.1	WP_002964065.1	WP_002964065.1	2356.4160125
185	5	5	WP_002964067.1	WP_002964067.1	WP_002964067.1	WP_002964067.1	WP_002964067.1	2354.7991
2336	5	5	WP_002966268.1	WP_004690089.1	WP_006175657.1	WP_006073438.1	WP_006073438.1	2353.239964285715
649	5	5	WP_002965735.1	WP_002965735.1	WP_002965735.1	WP_002965735.1	WP_002965735.1	2349.931326666667
199	5	5	WP_002966815.1	WP_002964121.1	WP_002964121.1	WP_002964121.1	WP_002964121.1	2347.3582923076924
2644	5	5	WP_002966644.1	WP_004689902.1	WP_004688758.1	WP_004688758.1	WP_006191491.1	2345.9961333333335
1498	5	5	WP_002966673.1	WP_004692000.1	WP_006160592.1	WP_004687959.1	WP_004687959.1	2342.229533333333
230	5	5	WP_002964279.1	WP_002964279.1	WP_002964279.1	WP_002964279.1	WP_002964279.1	2339.97395
668	5	5	WP_002965804.1	WP_002965804.1	WP_002965804.1	WP_002965804.1	WP_002965804.1	2338.5985130434783
1696	5	5	WP_002969917.1	WP_006132463.1	WP_004689599.1	WP_004689599.1	WP_004689599.1	2338.2505285714283
1359	5	5	WP_002963956.1	WP_004685573.1	WP_004685573.1	WP_041594689.1	WP_004685573.1	2335.8938227272733
1863	5	5	WP_002965707.1	WP_004690368.1	WP_002968570.1	WP_002968570.1	WP_004690368.1	2332.042181818182
600	5	5	WP_002965570.1	WP_002965570.1	WP_006175105.1	WP_002965570.1	WP_002965570.1	2328.460777777778
1399	5	5	WP_002967215.1	WP_004687088.1	WP_004687088.1	WP_004687088.1	WP_004687088.1	2327.2885333333334
1464	5	5	WP_002966989.1	WP_004687672.1	WP_004687672.1	WP_004687672.1	WP_004687672.1	2325.9667000000004
809	5	5	WP_002966423.1	WP_002966423.1	WP_006175811.1	WP_002966423.1	WP_002966423.1	2325.697519444444
139	5	5	WP_002963941.1	WP_002963941.1	WP_002963941.1	WP_002963941.1	WP_002963941.1	2322.5526736842107
930	5	5	WP_002967316.1	WP_002967316.1	WP_006175577.1	WP_015799854.1	WP_002967316.1	2320.2604454545453
1611	5	5	WP_002966358.1	WP_006133653.1	WP_006641719.1	WP_004688863.1	WP_004688863.1	2319.230833333333
2183	5	5	WP_002963834.1	WP_006132458.1	WP_006160834.1	WP_015799558.1	WP_004691919.1	2318.7835250000003
2232	5	5	WP_002966156.1	WP_004692324.1	WP_006175564.1	WP_002968387.1	WP_004692324.1	2318.65382
158	5	5	WP_002966781.1	WP_002963999.1	WP_002963999.1	WP_002963999.1	WP_002963999.1	2315.0383722222223
1123	5	5	WP_002965944.1	WP_002971220.1	WP_002971220.1	WP_002971220.1	WP_002971220.1	2313.9285722222226
20	5	5	WP_002963520.1	WP_002963520.1	WP_006173764.1	WP_002963520.1	WP_002963520.1	2310.8621818181823
2447	5	5	WP_002966720.1	WP_002967494.1	WP_006173907.1	WP_041594682.1	WP_006189977.1	2310.2223970588234
2158	5	5	WP_002965486.1	WP_004691448.1	WP_004685403.1	WP_012783852.1	WP_004691448.1	2307.218882608696
1225	5	5	WP_002965654.1	WP_004682413.1	WP_006161751.1	WP_015799958.1	WP_004682413.1	2304.693969230769
2810	5	5	WP_002965579.1	WP_004692134.1	WP_004687022.1	WP_015799972.1	WP_006192281.1	2295.8622083333335
11	5	5	WP_002963479.1	WP_002963479.1	WP_002963479.1	WP_012783862.1	WP_002963479.1	2294.704927272727
1476	5	5	WP_002965141.1	WP_004687759.1	WP_006160380.1	WP_004687759.1	WP_004687759.1	2290.77425
1438	5	5	WP_002966294.1	WP_004687455.1	WP_004687455.1	WP_004687455.1	WP_004687455.1	2289.5849416666665
193	5	5	WP_002964107.1	WP_004691862.1	WP_002964107.1	WP_002964107.1	WP_002964107.1	2286.7673230769233
2443	5	5	WP_002966717.1	WP_004691946.1	WP_023598563.1	WP_004689534.1	WP_006189968.1	2282.633467857143
848	5	5	WP_002966578.1	WP_004689933.1	WP_002966578.1	WP_002966578.1	WP_002966578.1	2281.5112285714285
2570	5	5	WP_002964676.1	WP_004691038.1	WP_006161282.1	WP_004689870.1	WP_006190696.1	2278.9952000000003
2751	5	5	WP_002965990.1	WP_004681927.1	WP_006175454.1	WP_015799889.1	WP_006192018.1	2277.30348125
1552	5	5	WP_002964164.1	WP_004688357.1	WP_004688357.1	WP_004688357.1	WP_004688357.1	2274.940324
2028	5	5	WP_002964233.1	WP_004690871.1	WP_006174268.1	WP_004685666.1	WP_004690871.1	2274.1087454545454
2413	5	5	WP_002963491.1	WP_004682901.1	WP_004682901.1	WP_004682901.1	WP_006189826.1	2273.4692363636364
2372	5	5	WP_002970411.1	WP_006133017.1	WP_006133017.1	WP_006133017.1	WP_006133017.1	2272.3432000000003
1210	5	5	WP_002965977.1	WP_004681939.1	WP_006175437.1	WP_004681939.1	WP_004681939.1	2271.708194736842
736	5	5	WP_002966127.1	WP_002966127.1	WP_002966127.1	WP_002966127.1	WP_002966127.1	2271.41685
2200	5	5	WP_002969531.1	WP_004692008.1	WP_006135047.1	WP_006135047.1	WP_004692008.1	2270.1361333333334
